id,number,mesh_file,shape,size_x,size_y,material
bm-1,,,round,0.309,0.309,steel
bm-2,,,round,0.309,0.309,steel
bm-3,,,,,0.203,composite
bm-4,,,,,0.203,composite
bm-5,,,,,0.203,composite
bm-6,,,,,0.203,composite
bm-7,,,,,0.203,composite
bm-8,,,,,0.203,composite
bm-9,,,,,0.203,composite
bm-10,,,,,0.203,composite
bm-11,,,,,0.203,composite
bm-12,,,,,0.203,composite
bm-13,,,,,0.203,composite
bm-14,,,,,0.203,composite
bm-15,,,,,0.203,composite
bm-16,,,,,0.203,composite
bm-17,,,,,0.203,composite
bm-18,,,,,0.203,composite
bm-19,,,,,0.203,composite
bm-20,,,,,0.203,composite
bm-21,,,,,0.203,composite
bm-22,,,,,0.203,composite
bm-23,,,,,0.203,composite
bm-24,,,,,0.203,composite
bm-25,,,,,0.203,composite
bm-26,,,,0.3,0.6,concrete
bm-27,,,,0.3,0.6,concrete
bm-28,,,,0.3,0.6,concrete
bm-29,,,,0.3,0.6,concrete
bm-30,,,,0.3,0.6,concrete
bm-31,,,,0.3,0.6,concrete
bm-32,,,,0.3,0.6,concrete
bm-33,,,,0.3,0.6,concrete
bm-34,,,,0.3,0.6,concrete
bm-35,,,,0.3,0.6,concrete
bm-36,,,,0.3,0.6,concrete
bm-37,,,,0.3,0.6,concrete
