id,number,mesh_file,host_id,position,material,width,height,operation,hinge_position,swing_side
d-1,122,,w-5,0.709,composite,0.915,2.134,single_swing,end,right
d-2,124,,w-10,3.35,composite,0.915,2.134,single_swing,start,left
d-3,125,,w-3,10.104,composite,0.915,2.134,single_swing,end,right
d-4,123,,w-3,8.326,composite,1.83,2.134,double_swing,start,right
d-5,126,,w-3,3.814,composite,0.915,2.134,single_swing,end,right
d-6,129,,w-3,2.699,composite,0.915,2.134,single_swing,start,right
d-7,128,,w-13,2.723,composite,0.915,2.134,single_swing,start,left
d-8,127,,w-12,3.814,composite,0.915,2.134,single_swing,end,left
d-9,130,,w-145,1.736,composite,0.915,2.134,single_swing,end,right
d-10,130A,,cw-11,0.463,glass,0.915,2.134,,end,left
d-11,119A,,w-9,6.634,composite,1.73,2.134,double_swing,start,right
d-12,119B,,w-20,2.773,composite,1.73,2.134,double_swing,start,right
d-13,118,,w-21,0.965,composite,1.73,2.134,double_swing,end,right
d-14,117,,w-23,5.412,composite,0.915,2.134,single_swing,start,right
d-15,116,,w-23,9.412,composite,0.915,2.134,single_swing,start,right
d-16,115,,w-23,11.184,composite,1.83,2.134,double_swing,end,right
d-17,114,,cw-15,2.377,glass,0.915,2.134,,start,left
d-18,111,,w-4,1.842,composite,0.915,2.134,single_swing,start,right
d-19,112,,w-4,3.158,composite,0.915,2.134,single_swing,end,right
d-20,110,,w-30,4.82,composite,0.915,2.134,single_swing,start,left
d-21,109,,w-30,0.558,composite,0.915,2.134,single_swing,end,left
d-22,103,,w-36,35.727,composite,0.915,2.134,single_swing,end,right
d-23,104B,,w-36,34.412,composite,0.915,2.134,single_swing,start,right
d-24,104A,,w-36,29.727,composite,0.915,2.134,single_swing,end,right
d-25,105B,,w-36,28.412,composite,0.915,2.134,single_swing,start,right
d-26,105A,,w-36,17.727,composite,0.915,2.134,single_swing,end,right
d-27,106B,,w-36,16.412,composite,0.915,2.134,single_swing,start,right
d-28,106A,,w-36,11.727,composite,0.915,2.134,single_swing,end,right
d-29,108B,,w-36,10.412,composite,0.915,2.134,single_swing,start,right
d-30,108A,,w-36,1.058,composite,0.915,2.134,single_swing,end,right
d-31,132A,,cw-17,0.463,glass,0.915,2.134,,end,right
d-32,132B,,w-1,6.76,composite,0.915,2.134,single_swing,start,right
d-93,101B,,cw-10,11.092,glass,1.83,2.134,,start,left
d-94,121,,cw-13,5.516,glass,1.83,2.134,,start,right
d-95,101A,,cw-10,9.212,glass,1.83,2.134,,start,left
d-96,101C,,cw-34,11.092,glass,1.83,2.134,,start,left
d-97,101D,,cw-34,9.212,glass,1.83,2.134,,start,left
d-98,120,,cw-7,4.351,glass,1.83,2.134,,start,right
