id,number,mesh_file,top_level_id,material,thickness
w-3,,,lv-2,steel,0.138
w-4,,,lv-2,steel,0.138
w-6,,,lv-2,steel,0.138
w-7,,,lv-2,steel,0.138
w-9,,,lv-2,concrete,0.303
w-10,,,lv-2,steel,0.138
w-11,,,lv-2,steel,0.138
w-12,,,lv-2,steel,0.138
w-13,,,lv-2,steel,0.138
w-14,,,lv-2,steel,0.138
w-15,,,lv-2,steel,0.138
w-17,,,lv-2,steel,0.138
w-18,,,lv-2,steel,0.138
w-19,,,lv-2,steel,0.138
w-20,,,lv-2,steel,0.138
w-21,,,lv-2,steel,0.138
w-22,,,lv-2,steel,0.138
w-23,,,lv-2,steel,0.138
w-27,,,lv-2,steel,0.138
w-28,,,lv-2,steel,0.138
w-29,,,lv-2,steel,0.138
w-30,,,lv-2,steel,0.138
w-31,,,lv-2,steel,0.138
w-32,,,lv-2,steel,0.138
w-33,,,lv-2,steel,0.138
w-34,,,lv-2,steel,0.138
w-35,,,lv-2,steel,0.138
w-36,,,lv-2,steel,0.138
w-37,,,lv-2,steel,0.138
w-38,,,lv-2,steel,0.138
w-39,,,lv-2,steel,0.138
w-40,,,lv-2,steel,0.138
w-144,,,lv-2,concrete,0.303
w-146,,,lv-2,steel,0.138
