id,number,mesh_file,top_level_id,material,shape,size_x,size_y
sc-110,,,lv-4,concrete,,0.3,
sc-111,,,lv-4,concrete,,0.3,
sc-112,,,lv-4,concrete,,0.3,
sc-113,,,lv-4,concrete,,0.3,
sc-114,,,lv-4,concrete,,0.3,
sc-115,,,lv-4,concrete,,0.3,
sc-116,,,lv-4,concrete,,0.3,
sc-117,,,lv-4,concrete,,0.3,
sc-118,,,lv-4,concrete,,0.3,
sc-119,,,lv-4,concrete,,0.3,
sc-120,,,lv-4,concrete,,0.3,
sc-121,,,lv-4,concrete,,0.3,
sc-122,,,lv-4,concrete,,0.3,
sc-123,,,lv-4,concrete,,0.3,
sc-124,,,lv-4,concrete,,0.3,
sc-125,,,lv-4,concrete,,0.3,
sc-126,,,lv-4,concrete,,0.3,
sc-127,,,lv-4,concrete,,0.3,
sc-128,,,lv-4,concrete,,0.3,
sc-129,,,lv-4,concrete,,0.3,
sc-130,,,lv-4,concrete,,0.3,
sc-131,,,lv-4,concrete,,0.3,
sc-132,,,lv-4,concrete,,0.3,
sc-133,,,lv-4,concrete,,0.3,
sc-134,,,lv-4,concrete,,0.3,
sc-135,,,lv-4,concrete,,0.3,
sc-136,,,lv-4,concrete,,0.3,
sc-137,,,lv-4,concrete,,0.3,
sc-138,,,lv-4,concrete,,0.3,
sc-139,,,lv-4,concrete,,0.3,
sc-140,,,lv-4,concrete,,0.3,
sc-141,,,lv-4,concrete,,0.3,
sc-142,,,lv-4,concrete,,0.3,
sc-143,,,lv-4,concrete,,0.3,
sc-144,,,lv-4,concrete,,0.3,
sc-145,,,lv-4,concrete,,0.3,
sc-146,,,lv-4,concrete,,0.3,
sc-147,,,lv-4,concrete,,0.3,
sc-148,,,lv-4,concrete,,0.3,
sc-149,,,lv-4,concrete,,0.3,
sc-150,,,lv-4,concrete,,0.3,
sc-151,,,lv-4,concrete,,0.3,
sc-152,,,lv-4,concrete,,0.3,
sc-153,,,lv-4,concrete,,0.3,
sc-154,,,lv-4,concrete,,0.3,
sc-155,,,lv-4,concrete,,0.3,
sc-156,,,lv-4,concrete,,0.3,
sc-157,,,lv-4,concrete,,0.3,
sc-158,,,lv-4,concrete,,0.3,
sc-159,,,lv-4,concrete,,0.3,
sc-160,,,lv-4,concrete,,0.3,
sc-161,,,lv-4,concrete,,0.3,
sc-162,,,lv-4,concrete,,0.3,
sc-163,,,lv-4,concrete,,0.3,
sc-164,,,lv-4,concrete,,0.3,
