id,number,base_offset,host_id,position,material,width,height,operation
d-18,183,-13.411,,0.5,glass,1.803,3.562,double_swing
d-19,184,-13.411,,0.5,glass,1.803,3.562,double_swing
d-20,185,-13.411,,0.5,glass,1.803,3.562,double_swing
d-21,186,-13.411,,0.5,glass,1.803,3.562,double_swing
d-22,145,0,w-40,5.385,aluminum,0.914,2.134,single_swing
d-23,146,0,w-45,0.567,aluminum,0.914,2.134,single_swing
d-24,147,0,w-37,1.802,glass,2.54,2.54,double_swing
d-25,148,0,w-37,14.192,glass,2.54,2.54,double_swing
d-26,149,0,w-38,1.537,glass,2.54,2.54,double_swing
d-27,163,0,w-39,4.353,glass,2.54,2.54,double_swing
