id,number,base_offset,host_id,position,material,width,height
wn-21,192,0.914,w-34,21.612,glass,3.048,3.048
wn-22,193,0.914,w-34,17.555,glass,3.048,3.048
wn-23,194,0.914,w-34,13.474,glass,3.048,3.048
wn-24,195,0.914,w-34,9.417,glass,3.048,3.048
wn-25,205,0.914,w-34,4.180,glass,1.016,2.54
wn-26,209,3.658,w-34,1.229,glass,0.66,1.067
wn-27,211,0.914,w-36,13.870,glass,2.54,2.032
wn-28,212,0.914,w-36,8.280,glass,2.54,2.032
wn-29,213,0.914,w-36,3.846,glass,2.54,2.032
wn-30,214,0.914,w-35,8.120,glass,1.016,2.54
wn-31,215,0.914,w-35,13.990,glass,1.016,2.54
wn-32,216,0.914,w-35,16.926,glass,1.016,2.54
wn-33,217,0.914,w-35,21.287,glass,1.016,2.54
wn-34,238,0.305,w-37,6.765,glass,5.588,3.81
wn-35,241,0.914,w-35,24.524,glass,1.016,2.54
